COM1,COM2,COM3,COM4,COM5,COM6,COM7,COM8,COM9,COM10,COM11,COM12,COM13,COM14,COM15,Total_COM,COM_Label
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,16,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,17,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,18,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,19,0
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,17,0
1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,18,0
1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,19,0
1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,20,0
1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,19,0
1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,20,0
1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,21,0
1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,21,0
1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,22,0
1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,23,0
1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,18,0
1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,19,0
1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,20,0
1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,21,0
1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,20,0
1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,21,0
1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,22,0
1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,22,0
1,1,1,1,1,1,1,1,1,1,1,1,2,4,5,23,0
1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,24,0
1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,21,0
1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,22,0
1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,23,0
1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,23,0
1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,24,0
