ADU1,ADU2,ADU3,ADU4,ADU5,ADU6,ADU7,ADU8,Total_ADU,ADU_Label
1,1,1,1,1,1,1,1,8,0
1,1,1,1,1,1,1,2,9,0
1,1,1,1,1,1,1,3,10,0
1,1,1,1,1,1,1,4,11,0
1,1,1,1,1,1,1,5,12,0
1,1,1,1,1,1,2,2,10,0
1,1,1,1,1,1,2,3,11,0
1,1,1,1,1,1,2,4,12,0
1,1,1,1,1,1,2,5,13,0
1,1,1,1,1,1,3,3,12,0
1,1,1,1,1,1,3,4,13,0
1,1,1,1,1,1,3,5,14,0
1,1,1,1,1,1,4,4,14,0
1,1,1,1,1,1,4,5,15,0
1,1,1,1,1,1,5,5,16,0
1,1,1,1,1,2,2,2,11,0
1,1,1,1,1,2,2,3,12,0
1,1,1,1,1,2,2,4,13,0
1,1,1,1,1,2,2,5,14,0
1,1,1,1,1,2,3,3,13,0
1,1,1,1,1,2,3,4,14,0
1,1,1,1,1,2,3,5,15,0
1,1,1,1,1,2,4,4,15,0
1,1,1,1,1,2,4,5,16,0
1,1,1,1,1,2,5,5,17,0
1,1,1,1,1,3,3,3,14,0
1,1,1,1,1,3,3,4,15,0
1,1,1,1,1,3,3,5,16,0
1,1,1,1,1,3,4,4,16,0
1,1,1,1,1,3,4,5,17,0
1,1,1,1,1,3,5,5,18,0
1,1,1,1,1,4,4,4,17,0
1,1,1,1,1,4,4,5,18,0
1,1,1,1,1,4,5,5,19,0
1,1,1,1,1,5,5,5,20,0
1,1,1,1,2,2,2,2,12,0
1,1,1,1,2,2,2,3,13,0
1,1,1,1,2,2,2,4,14,0
1,1,1,1,2,2,2,5,15,0
1,1,1,1,2,2,3,3,14,0
1,1,1,1,2,2,3,4,15,0
1,1,1,1,2,2,3,5,16,0
1,1,1,1,2,2,4,4,16,0
1,1,1,1,2,2,4,5,17,0
1,1,1,1,2,2,5,5,18,0
1,1,1,1,2,3,3,3,15,0
1,1,1,1,2,3,3,4,16,0
1,1,1,1,2,3,3,5,17,0
1,1,1,1,2,3,4,4,17,0
1,1,1,1,2,3,4,5,18,0
1,1,1,1,2,3,5,5,19,0
1,1,1,1,2,4,4,4,18,0
1,1,1,1,2,4,4,5,19,0
1,1,1,1,2,4,5,5,20,0
1,1,1,1,2,5,5,5,21,0
1,1,1,1,3,3,3,3,16,0
1,1,1,1,3,3,3,4,17,0
1,1,1,1,3,3,3,5,18,0
1,1,1,1,3,3,4,4,18,0
1,1,1,1,3,3,4,5,19,0
1,1,1,1,3,3,5,5,20,0
1,1,1,1,3,4,4,4,19,0
1,1,1,1,3,4,4,5,20,0
1,1,1,1,3,4,5,5,21,0
1,1,1,1,3,5,5,5,22,0
1,1,1,1,4,4,4,4,20,0
1,1,1,1,4,4,4,5,21,0
1,1,1,1,4,4,5,5,22,0
1,1,1,1,4,5,5,5,23,0
1,1,1,1,5,5,5,5,24,0
1,1,1,2,2,2,2,2,13,0
1,1,1,2,2,2,2,3,14,0
1,1,1,2,2,2,2,4,15,0
1,1,1,2,2,2,2,5,16,0
1,1,1,2,2,2,3,3,15,0
1,1,1,2,2,2,3,4,16,0
1,1,1,2,2,2,3,5,17,0
1,1,1,2,2,2,4,4,17,0
1,1,1,2,2,2,4,5,18,0
